Date,Price,Open,High,Low,Vol.,Change %
"May 22, 2022",29027.1,29433,30644.8,28077.9,658.54K,-1.38%
"May 15, 2022",29434.6,30078.6,31383.8,28648.1,630.05K,-2.15%
"May 08, 2022",30080.4,35468,35497,26500.5,672.43M,-15.19%
"May 01, 2022",35468,37642,40021,34773,4.43B,-5.80%
"Apr 24, 2022",37650,39434,40770,37596,3.35B,-4.49%
"Apr 17, 2022",39418,40382,42969,38577,2.66B,-2.39%
"Apr 10, 2022",40382,42760,43421,39202,2.49B,-5.58%
"Apr 03, 2022",42767,45813,47435,42113,3.23B,-6.64%
"Mar 27, 2022",45811,44542,48199,44261,3.66B,2.84%
"Mar 20, 2022",44548,42241,45112,40530,3.16B,5.48%
"Mar 13, 2022",42233,38813.2,42386,37603.4,17.07B,8.81%
"Mar 06, 2022",38814.3,39396.3,42538.5,37182.1,20.31B,-1.48%
"Feb 27, 2022",39395.8,39116.6,45294.2,37062.3,6.23B,0.72%
"Feb 20, 2022",39115.5,40089.6,40120.3,34357.4,635.91K,-2.43%
"Feb 13, 2022",40090.3,42205.5,44722.6,39505,376.77K,-5.01%
"Feb 06, 2022",42205.2,41411.9,45755.2,41176.3,473.29K,1.92%
"Jan 30, 2022",41412.1,38167.5,41899.8,36297.3,451.36K,8.49%
"Jan 23, 2022",38170.8,35072.9,38862.6,32985.6,630.11K,8.83%
"Jan 16, 2022",35075.2,43079.2,43487.1,34116,541.76K,-18.61%
"Jan 09, 2022",43097,41681.2,44404.7,39697,391.26K,3.42%
"Jan 02, 2022",41672,47738.7,47944.9,40574.3,446.80K,-12.71%
"Dec 26, 2021",47738,50404,52016.3,45693.6,391.96K,-5.29%
"Dec 19, 2021",50406.4,46855.7,51795.3,45577.3,343.62K,7.58%
"Dec 12, 2021",46856.2,49332.5,50779.2,45513.4,446.80K,-4.98%
"Dec 05, 2021",49314.5,49196.4,51918.6,46834,470.49K,0.24%
"Nov 28, 2021",49195.2,54758,59174.4,42587.8,485.37K,-10.17%
"Nov 21, 2021",54765.9,59724,60002.6,53533.5,512.69K,-8.29%
"Nov 14, 2021",59717.6,64397.2,66311.2,55626.3,521.73K,-7.27%
"Nov 07, 2021",64398.6,61483.8,68990.6,61347.2,451.59K,4.74%
"Oct 31, 2021",61483.9,61842.2,64256.4,59612.7,375.25K,-0.58%
"Oct 24, 2021",61840.1,61308.2,63694.8,58112.6,449.83K,0.86%
"Oct 17, 2021",61312.5,60865.5,66967.1,59143.4,545.11K,0.74%
"Oct 10, 2021",60861.1,54942.5,62892.8,54100.8,628.28K,10.77%
"Oct 03, 2021",54942.5,47665.4,55977.9,46958.6,506.29K,15.26%
"Sep 26, 2021",47666.9,42685.8,48435.2,40786.6,486.08K,11.67%
"Sep 19, 2021",42686.8,48299.9,48341.9,39646.8,682.37K,-11.63%
"Sep 12, 2021",48306.7,45162.6,48761,43463.2,428.09K,6.96%
"Sep 05, 2021",45161.9,49918.7,52885.3,43072.4,635.39K,-9.53%
"Aug 29, 2021",49918.4,48899.7,51008.8,46533.1,503.54K,2.09%
"Aug 22, 2021",48897.1,48870.4,50498.8,46360.4,455.60K,0.04%
"Aug 15, 2021",48875.8,47082.6,49719.1,43986.7,404.44K,3.81%
"Aug 08, 2021",47081.5,44584.9,48090.9,42824.1,603.00K,5.53%
"Aug 01, 2021",44614.2,41510,44697.3,37365.4,480.25K,7.37%
"Jul 25, 2021",41553.7,34392.5,42285.3,33881.3,772.12K,22.85%
"Jul 18, 2021",33824.8,31517.9,33955,29310.2,547.54K,7.32%
"Jul 11, 2021",31518.6,33510.8,34598,31062.2,444.39K,-5.94%
"Jul 04, 2021",33510.6,34742.8,35957.6,32146.9,538.72K,-3.55%
"Jun 27, 2021",34742.8,32247.1,36590.3,32041.7,644.50K,7.75%
"Jun 20, 2021",32243.4,35510.9,36097.9,28901.8,1.38M,-9.21%
"Jun 13, 2021",35513.4,35467.5,41318,34827,869.90K,0.13%
"Jun 06, 2021",35467.5,35518.7,38340.8,31158.1,955.16K,-0.15%
"May 30, 2021",35520,34589.3,39462.3,33441,795.23K,2.70%
"May 23, 2021",34584.6,37446.8,40750,31192.4,1.36M,-7.65%
"May 16, 2021",37448.3,46729.3,49764.3,30261.7,2.10M,-19.83%
"May 09, 2021",46708.8,58840.6,59523.9,46331.1,971.69K,-20.62%
"May 02, 2021",58840.1,57807.2,59471.1,53741.5,714.62K,1.79%
"Apr 25, 2021",57807.1,50088.2,58449.4,47098.5,650.34K,15.41%
"Apr 18, 2021",50088.9,60043.2,60362.1,47659.4,1.12M,-16.58%
"Apr 11, 2021",60041.9,59772.4,64778,59250.3,738.10K,0.49%
"Apr 04, 2021",59748.4,57059.7,61229,55489.3,478.37K,4.71%
"Mar 28, 2021",57059.9,55856.9,60134.9,54711.3,551.09K,2.14%
"Mar 21, 2021",55862.9,58097.4,58583.8,50441.3,736.81K,-3.84%
"Mar 14, 2021",58093.4,61192.7,61673.7,53342.6,705.78K,-5.07%
"Mar 07, 2021",61195.3,48899,61795.8,48890.6,726.92K,25.26%
"Feb 28, 2021",48855.6,46136,52567.9,43100.6,647.90K,5.89%
"Feb 21, 2021",46136.7,55907.6,58335.1,44248.2,1.08M,-17.50%
"Feb 14, 2021",55923.7,47172.1,57523.8,45786.1,880.27K,18.56%
"Feb 07, 2021",47168.7,39228.9,48927.4,37381.6,1.12M,20.16%
"Jan 31, 2021",39256.6,34281.6,40939.7,32189.9,844.34K,14.51%
"Jan 24, 2021",34283.1,32088.5,38546,29290.4,1.38M,6.84%
"Jan 17, 2021",32088.9,36020.1,37821,28871.2,1.14M,-10.91%
"Jan 10, 2021",36019.5,40149.7,41362.4,30411.6,1.40M,-10.29%
